Region,Year,Age,Pop
Lazio,2018,24,56455
Lazio,2018,25,59105
Lazio,2018,26,58773
Lazio,2018,27,60813
Lazio,2018,28,60882
Lazio,2018,29,63043
Lazio,2018,30,62904
Lazio,2018,31,63172
Lazio,2018,32,66188
Lazio,2018,33,68399
Lazio,2018,34,70066
Lazio,2018,35,73007
Lazio,2018,36,73943
Lazio,2018,37,75571
Lazio,2018,38,78017
Lazio,2018,39,82416
Lazio,2018,40,84149
Lazio,2018,41,87533
Lazio,2018,42,91998
Lazio,2018,43,95928
Lazio,2018,44,95745
Lazio,2018,45,96900
Lazio,2018,46,96878
Lazio,2018,47,96789
Lazio,2018,48,98114
Lazio,2018,49,97067
Lazio,2018,50,97184
