Study,Review,Country,Age,Age group,Vax type,N,Estimate,Vaccine name,If titers: rSBA or hSBA,0,0.5,1,3,5,6,11,12,18,20,22,23,24,28,30,36,48,90,Overall,Wan,Dur,VE,MenB strain,Format,Extra info
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",6 m,Infants,"Primary (2,4,6 m Con) ",3,Titers,4CMenB/Bexsero,,,,"100 (97, 100)",,,,,"96 (91, 98)","97 (92, 99)",,,,"86 (78, 92)",,,,,,,"0.035770689028468965 (0.03389264232547401, 0.03764873573146392)","27.95584952820243 (26.56131688279447, 29.504928839625794)",,5/99 for NadA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",6 m,Infants,"Primary (2,4,6 m Con) ",3,Titers,4CMenB/Bexsero,,,,"78 (68, 85)",,,,,"20 (14, 27)","8 (4, 14)",,,,"7 (3, 13)",,,,,,,"1.5707469150085167 (1.422228872657061, 1.7192649573599723)","0.6366397988402721 (0.5816439145805403, 0.7031217121417052)",,NZ98/254 for PorA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",6 m,Infants,"Primary (2,4,6 m Int)",3,Titers,4CMenB/Bexsero,,,,"100 (96, 100)",,,,,"85 (78, 90)","41 (32, 51)",,,,"22 (15, 31)",,,,,,,"0.27962751688275744 (0.018138857265940223, 0.5411161764995747)","3.576185960336948 (1.8480319817250668, 55.130264566209725)",,44/76-SL for fHbp,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",6 m,Infants,"Primary (2,4,6 m Int)",3,Titers,4CMenB/Bexsero,,,,"100 (96, 100)",,,,,"99 (95, 100)","96 (91, 99)",,,,"94 (88, 98)",,,,,,,"0.022100489704478865 (0.021873117984944707, 0.022327861424013024)","45.24786615010349 (44.78709272731899, 45.718219080073595)",,5/99 for NadA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",6 m,Infants,"Primary (2,4,6 m Int)",3,Titers,4CMenB/Bexsero,,,,"89 (81, 94)",,,,,"35 (27, 43)","13 (7, 20)",,,,"8 (3, 14)",,,,,,,"1.177089744423571 (1.1251602188049512, 1.229019270042191)","0.8495528949576456 (0.8136568924307193, 0.8887623142792183)",,NZ98/254 for PorA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",4 m,Infants,"Primary (2,3,4 m Con)",3,Titers,4CMenB/Bexsero,,,,"36 (21, 53)",,,,,"26 (16, 38)",,,,,,,,,,,,"1.4128349517735963 (0.17920389148584898, 11.138723519911533)","0.7077967590939439 (0.08977689393334923, 5.580235963117833)",,M10713 for NHBA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",4 m,Infants,"Primary (2,3,4 m Con)",3,Titers,4CMenB/Bexsero,,,,"42 (22, 63)",,,,,,"26 (15, 40)",,,,,,,,,,,"0.9234963461946121 (0.1454236479894041, 5.864558572323388)","1.0828413172619809 (0.17051581763021348, 6.876460698282457)",,M10713 for NHBA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",4 m,Infants,"Primary (2,3,4 m Con)",3,Titers,4CMenB/Bexsero,,,,"98 (88, 100)",,,,,"57 (46, 67)","20 (10, 34)",,,,"15 (6, 28)",,,,,,,"0.6822028333384704 (0.4921706288173636, 0.8722350378595772)","1.4658397050424687 (1.146479969956208, 2.031815678239271)",,44/76-SL for fHbp,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",4 m,Infants,"Primary (2,3,4 m Con)",3,Titers,4CMenB/Bexsero,,,,"100 (92, 100)",,,,,"96 (89, 99)","94 (84, 99)",,,,"82 (68, 92)",,,,,,,"0.05261774997786062 (0.05022034207446257, 0.055015157881258665)","19.00499357005495 (18.176808692585023, 19.912249871123592)",,5/99 for NadA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",4 m,Infants,"Primary (2,3,4 m Con)",3,Titers,4CMenB/Bexsero,,,,"81 (66, 91)",,,,,"18 (11, 28)","2 (0, 10)",,,,"13 (5, 25)",,,,,,,"1.366805751949953 (0.47334749781677543, 2.2602640060831307)","0.7316328590023493 (0.4424261932715221, 2.112612836472799)",,NZ98/254 for PorA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",4 m,Infants,"Primary (2,3,4 m Con)",3,Titers,4CMenB/Bexsero,,,,"25 (9, 49)",,,,,,,,,,"32 (18, 48)",,,,,,,"0.5790557595185616 (0.046810047671220864, 7.16311111209926)","1.7269494061010977 (0.13960414467268184, 21.362934877223097)",,M10713 for NHBA,Yes,
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"97 (93, 99)",,,,,,,,,,,,,"12 (5, 22)",,,,"0.603588613782607 (0.2983371046955444, 1.2211662879138014)","1.6567575616331416 (0.8188892945189027, 3.351912934264441)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Int), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (97, 100)",,,,,,,,,,,,,"20 (11, 32)",,,,"0.27535005483758207 (0.025739428559007873, 2.945584146332029)","3.6317406967282424 (0.3394912351240225, 38.85090135965882)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,3,4 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (94, 100)",,,,,,,,,,,,,"12 (4, 26)",,,,"0.41424657971322676 (0.03992083227004791, 4.298513308622981)","2.4140211385505626 (0.23263857250225606, 25.049577955575018)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (97, 100)",,,,,,,,,,,,,"93 (83, 98)",,,,"0.023647445725950584 (0.02353107648895781, 0.023763814962943358)","42.28786531911162 (42.08078549506351, 42.49699330454601)",,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Int), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (97, 100)",,,,,,,,,,,,,"97 (89, 100)",,,,"0.01003967836029318 (0.01002743426310848, 0.010051922457477882)","99.60478454718124 (99.48345744112605, 99.7264079485476)",,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,3,4 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (94, 100)",,,,,,,,,,,,,"90 (77, 97)",,,,"0.03474679753261267 (0.034604708713942556, 0.03488888635128279)","28.779630671327894 (28.662422466896317, 28.89780140230138)",,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"95 (89, 98)",,,,,,,,,,,,,"9 (2, 18)",,,,"0.7490466508731705 (0.5757743031651026, 0.9223189985812383)","1.3350303333367701 (1.0842235729050955, 1.7367916464886959)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Int), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"96 (90, 99)",,,,,,,,,,,,,"9 (3, 19)",,,,"0.7324454796170901 (0.38161976085819554, 1.0832711983759846)","1.365289332555896 (0.9231298695092948, 2.620409377520641)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,3,4 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"97 (89, 100)",,,,,,,,,,,,,"10 (3, 23)",,,,"0.6908376042122963 (0.22588769535128955, 1.155787513073303)","1.4475181922677984 (0.8652109394580191, 4.426978629556818)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,,,,"54 (41, 66)",,,,,,,M10713 for NHBA,Yes,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,4,6 m Int), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,,,,"55 (42, 68)",,,,,,,M10713 for NHBA,Yes,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",1 y,Infants,"Primary (2,3,4 m Con), booster (12 m)",3+1,Titers,4CMenB/Bexsero,,,,"76 (62, 87)",,,,,,,,,,,,,"68 (51, 81)",,,,"0.13310128895081663 (0.03312949731010501, 0.5347486246030404)","7.513075251807053 (1.870037535379038, 30.184581149529983)",,M10713 for NHBA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (96, 100)",,,,,,,,,,,,"18 (10, 30)",,,,,"0.3800646046406987 (0.03908871979658987, 3.695416592110864)","2.6311316228601953 (0.2706054852204873, 25.582828120332575)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Int), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"99 (94, 100)",,,,,,,,,,,,"27 (17, 40)",,,,,"0.4530856938396003 (0.1049365941704376, 0.8012347935087629)","2.2070880047561516 (1.2480736085121886, 9.529564094445488)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,3,4 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"98 (88, 100)",,,,,,,,,,,,"25 (11, 45)",,,,,"0.5174115101102295 (0.3947699904300233, 0.6400530297904357)","1.932697631305032 (1.5623705434648394, 2.5331206126147)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (96, 100)",,,,,,,,,,,,"98 (91, 100)",,,,,"0.008033439827159317 (0.008028094795012892, 0.008038784859305741)","124.47967763687194 (124.39691041642874, 124.56255506863309)",,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Int), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (96, 100)",,,,,,,,,,,,"100 (94, 100)",,,,,,,,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,3,4 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (92, 100)",,,,,,,,,,,,"89 (72, 98)",,,,,"0.04591604847366475 (0.045613690180935126, 0.04621840676639437)","21.778877609068477 (21.63640138125888, 21.923242693877985)",,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"77 (67, 86)",,,,,,,,,,,,"8 (3, 18)",,,,,"1.1253842747597191 (0.400682727113083, 3.160829454769641)","0.8885853680632867 (0.3163726529095127, 2.4957402262009016)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Int), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"86 (76, 93)",,,,,,,,,,,,"11 (5, 22)",,,,,"0.9352594363589165 (0.5279798163672911, 1.342539056350542)","1.0692220373558878 (0.744857287592307, 1.8940117955273243)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,3,4 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"80 (65, 91)",,,,,,,,,,,,"11 (2, 28)",,,,,"0.9977414935057645 (0.3580589024031829, 2.7802355455532566)","1.002263618892204 (0.35968175487843557, 2.792836578809528)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,,,"68 (54, 79)",,,,,,,,M10713 for NHBA,Yes,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,4,6 m Int), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,,,"53 (40, 66)",,,,,,,,M10713 for NHBA,Yes,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",1.5 y,Infants,"Primary (2,3,4 m Con), booster (18 m)",3+1,Titers,4CMenB/Bexsero,,,,"74 (57, 87)",,,,,,,,,,,,"75 (55, 89)",,,,,"0.1201011915076936 (0.02361693489774797, 0.6107607216609275)","8.32631206607089 (1.6373024075296776, 42.34249720929521)",,M10713 for NHBA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"24 (14, 37)",,,,,,,"0.43958533324129323 (0.06753749448865068, 2.861155372492105)","2.2748711669392505 (0.34950915620111417, 14.806590140355958)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"35 (23, 49)",,,,,,,"0.381070904244026 (0.11691439243037705, 1.2420629406070405)","2.6241835544590173 (0.8051121785432744, 8.553266875124068)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (91, 100)",,,,,,,,,,"21 (8, 41)",,,,,,,"0.512955937908674 (0.08663337371520088, 3.037210522364768)","1.9494851820548351 (0.3292494848929344, 11.54289573539415)",,44/76-SL for fHbp,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"97 (88, 100)",,,,,,,"0.015067135759877406 (0.015041352062913725, 0.015092919456841087)","66.36961503080904 (66.25623378297003, 66.48338499207269)",,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"100 (93, 100)",,,,,,,,,,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (90, 100)",,,,,,,,,,"96 (82, 100)",,,,,,,"0.020286050157239246 (0.02025148109286946, 0.02032061922160903)","49.29495846894284 (49.21109879056224, 49.37910444249432)",,5/99 for NadA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"84 (74, 92)",,,,,,,,,,"12 (5, 23)",,,,,,,"1.1412441245103186 (0.5040964187015692, 1.7783918303190682)","0.876236712656967 (0.562305777023608, 1.9837474794519645)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"89 (80, 96)",,,,,,,,,,"9 (3, 20)",,,,,,,"1.2347376884426122 (1.177914381416574, 1.2915609954686504)","0.809888617930915 (0.7742568903121329, 0.8489581380247586)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"96 (83, 100)",,,,,,,,,,"11 (2, 28)",,,,,,,"0.9450956035704808 (0.4388806985787163, 2.03519020722678)","1.0580940131581351 (0.49135456550895773, 2.278523533248166)",,NZ98/254 for PorA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,"74 (61, 85)",,,,,,,,,,M10713 for NHBA,Yes,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,"80 (66, 89)",,,,,,,,,,M10713 for NHBA,Yes,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"95 (81, 100)",,,,,,,,,,"75 (55, 89)",,,,,,,"0.1480748304404188 (0.12554176353003077, 0.17060789735080684)","6.753342192090993 (5.861393379368501, 7.965476761530362)",,M10713 for NHBA,Yes,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"24 (14, 37)",,"18 (10, 30)","12 (5, 22)",,,,"0.5863704339353695 (0.44621057974248024, 0.7265302881282587)","1.705406586223311 (1.376405108417812, 2.2410943294467067)",,44/76-SL for fHbp,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"35 (23, 49)",,"27 (17, 40)","20 (11, 32)",,,,"0.4748660647691963 (0.43318670878203946, 0.5165454207563531)","2.1058569440754615 (1.9359381766191, 2.308473412796135)",,44/76-SL for fHbp,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (91, 100)",,,,,,,,,,"21 (8, 41)",,"25 (11, 45)","12 (4, 26)",,,,"0.591577491903055 (0.4731804627385398, 0.7099745210675701)","1.6903956179655926 (1.4085012494481157, 2.1133585994072606)",,44/76-SL for fHbp,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"97 (88, 100)",,"98 (91, 100)","93 (83, 98)",,,,"0.01355182900069589 (0.013299846102313806, 0.013803811899077973)","73.7907776100665 (72.44375737015042, 75.1888399540223)",,5/99 for NadA,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (95, 100)",,,,,,,,,,"100 (93, 100)",,"100 (94, 100)","97 (89, 100)",,,,"0.0022008483192306784 (0.002090449873696881, 0.0023112467647644756)","454.3702495361229 (432.666911748778, 478.3659309809414)",,5/99 for NadA,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"100 (90, 100)",,,,,,,,,,"96 (82, 100)",,"89 (72, 98)","90 (77, 97)",,,,"0.03286271535632557 (0.03243347851358793, 0.0332919521990632)","30.42962181174464 (30.03728931306524, 30.832338861866212)",,5/99 for NadA,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"84 (74, 92)",,,,,,,,,,"12 (5, 23)",,"8 (3, 18)","9 (2, 18)",,,,"0.9850967555410686 (0.8556576332780327, 1.1145358778041043)","1.0151287113424161 (0.8972344631652713, 1.168691730323249)",,NZ98/254 for PorA,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"89 (80, 96)",,,,,,,,,,"9 (3, 20)",,"11 (5, 22)","9 (3, 19)",,,,"0.9199939066216896 (0.8041720273495285, 1.0358157858938506)","1.0869637209577843 (0.9654226297942123, 1.2435150266242176)",,NZ98/254 for PorA,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"96 (83, 100)",,,,,,,,,,"11 (2, 28)",,"11 (2, 28)","10 (3, 23)",,,,"0.8302833798837783 (0.7410437618622223, 0.9195229979053343)","1.2044080662435737 (1.087520379890434, 1.3494479698297814)",,NZ98/254 for PorA,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,"74 (61, 85)",,"68 (54, 79)","54 (41, 66)",,,,"0.1701626939003703 (0.16374797896767032, 0.1765774088330703)","5.876728776905099 (5.6632386136403365, 6.106945602042732)",,M10713 for NHBA,No,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,4,6 m Int), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,,,,,,,,,,,"80 (66, 89)",,"53 (40, 66)","55 (42, 68)",,,,"0.17565092751356617 (0.14542321772769598, 0.20587863729943637)","5.693109704318335 (4.857230517538197, 6.876481043573754)",,M10713 for NHBA,No,No 1 m measurement from 2016Snape
2017Iro,,"Czech Republic, Italy, Spain, UK",2 y,Infants,"Primary (2,3,4 m Con), booster (24 m)",3+1,Titers,4CMenB/Bexsero,,,,"95 (81, 100)",,,,,,,,,,"75 (55, 89)",,"75 (55, 89)","68 (51, 81)",,,,"0.12828111755594496 (0.12679077167897182, 0.1297714634329181)","7.795379546517342 (7.705854380820198, 7.887009336388868)",,M10713 for NHBA,No,From 2016Snape (1 m measurement: baseline post infant booster dose)
2017Iro,,"Czech Republic, Italy, Spain, UK",4 y,Infants,,0,Titers,4CMenB/Bexsero,,"5 (2, 8)",,,,,,,,,,,,,,,,,,,,,,5/99 for NadA,No,
2017Iro,,"Czech Republic, Italy, Spain, UK",4 y,Infants,,0,Titers,4CMenB/Bexsero,,"0 (0.01, 3)",,,,,,,,,,,,,,,,,,,,,,44/76-SL for fHbp,No,
2017Iro,,"Czech Republic, Italy, Spain, UK",4 y,Infants,,0,Titers,4CMenB/Bexsero,,"0 (0.01, 3)",,,,,,,,,,,,,,,,,,,,,,NZ98/254 for PorA,No,
2017Iro,,"Czech Republic, Italy, Spain, UK",4 y,Infants,,0,Titers,4CMenB/Bexsero,,"60 (53, 67)",,,,,,,,,,,,,,,,,,,,,,M10713 for NHBA,No,
2018Nolan,,"Australia, Canada",11-17 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"99.0  (95.1, 99.83)",,,,,,,,,,,,,,"30.0  (22.5, 38.0)",,,"0.2923060372852486 (0.2738647718741459, 0.31074730269635137)","3.4210720014111233 (3.218048849734204, 3.651437142340996)",,44/76-SL for fHbp,Yes,primed_4y
2018Nolan,,"Australia, Canada",11-17 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"100  (97.3, 100)",,,,,,,,,,,,,,"84.0  (77.0, 90.0)",,,"0.04298232457891027 (0.04270184786522696, 0.04326280129259358)","23.265377333515847 (23.114545755759835, 23.41819031242256)",,5/99 for NadA,Yes,primed_4y
2018Nolan,,"Australia, Canada",11-17 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"70.0  (61.7, 77.4)",,,,,,,,,,,,,,"75.0  (66.9, 81.7)",,,"0.07333951423715176 (0.012882028069672199, 0.4175339720928162)","13.63521439160866 (2.395014697816502, 77.62752841334606)",,M10713 for NHBA,Yes,primed_4y
2018Nolan,,"Australia, Canada",11-17 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"82.0  (74.7, 87.9)",,,,,,,,,,,,,,"9.0  (4.9, 14.9)",,,"0.6373460717003725 (0.31803245679383785, 1.2772596206280258)","1.569006297210093 (0.7829261834084305, 3.144333160461803)",,NZ98/254 for PorA,Yes,primed_4y
2018Nolan,,Chile,11-17 y,Adolescents,"Catch-up (0,1/2/6 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"100  (97.2, 100)",,,,,,,,,,,,,,,"44.0  (35.6, 53.2)",,"0.1068253078453917 (0.10219588491220832, 0.11145473077857507)","9.361077633844035 (8.972252617851462, 9.785129810843685)",,44/76-SL for fHbp,Yes,primed_7.5y
2018Nolan,,Chile,11-17 y,Adolescents,"Catch-up (0,1/2/6 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"100  (97.0, 100)",,,,,,,,,,,,,,,"84.0  (76.4, 90.2)",,"0.023162138243774704 (0.023125902793781117, 0.02319837369376829)","43.173906893884045 (43.10647001382804, 43.24155510456068)",,5/99 for NadA,Yes,primed_7.5y
